"","atmnevek","cimek","lon","lat"
"4563","OTP Bank Nyrt. - ATM","Gyáli út 37, 1097 Budapest",19.1083774,47.4601945
"4564","OTP Bank Nyrt. - ATM","Csömöri út 9-11, 1147 Budapest",19.114388,47.520901
"4565","CIB Bank Zrt. - Fiók","Bosnyák tér 9., 1149 Budapest",19.11318,47.520587
"4566","CIB Bank Zrt. - ATM","Bosnyák tér 9., 1149 Budapest",19.11318,47.520587
"4567","OTP Bank Nyrt. - Fiók","Bosnyák tér 17, 1149 Budapest",19.112196,47.519832
"4568","BUDAPEST Bank Zrt. - Fiók","Török Flóris utca 70., 1203 Budapest",19.1052788,47.4394812
"4569","BUDAPEST Bank Zrt. - ATM","Török Flóris utca 70., 1203 Budapest",19.1052788,47.4394812
"4570","OTP Bank Nyrt. - ATM","Deres utca 2, 2600 Vác",19.1463363,47.7556029
"4571","OTP Bank Nyrt. - ATM","Nagysándor József utca 19, 1201 Budapest",19.104504,47.433042
"4572","OTP Bank Nyrt. - ATM","Kossuth L. utca 44-46, 1204 Budapest",19.1049,47.438648
"4573","OTP Bank Nyrt. - ATM","Hungária krt. 5-7, 1101 Budapest",19.1096245,47.4909575
"4574","K&H Bank Zrt. - Fiók","Pesti út 46., 2131 Göd",19.133577,47.678742
"4575","K&H Bank Zrt. - ATM","Pesti út 46., 2131 Göd",19.133577,47.678742
"4576","OTP Bank Nyrt. - ATM","Pesti út 72, 2131 Göd",19.134024,47.683356
"4577","OTP Bank Nyrt. - ATM","Fő út 190, 2120 Dunakeszi",19.1299091,47.6560101
"4578","OTP Bank Nyrt. - Fiók","Kossuth Lajos utca 44-46, 1204 Budapest",19.1049,47.438648
"4579","Magyar Posta Zrt. - Fiók","Pesti út 70., 2131 Göd",19.133997,47.683059
"4580","OTP Bank Nyrt. - ATM","Üllői út 133-137, 1098 Budapest",19.1074857,47.4714166
"4581","Erste Bank Hungary Zrt. - ATM","Deres utca 2., 2600 Vác",19.1463363,47.7556029
"4582","OTP Bank Nyrt. - ATM","Bocskai utca 1-3, 1153 Budapest",19.1171082,47.5626203
"4583","K&H Bank Zrt. - ATM","Deres utca 2., 2600 Vác",19.1463363,47.7556029
"4584","OTP Bank Nyrt. - ATM","Bosnyák tér 17, 1149 Budapest",19.112196,47.519832
"4585","OTP Bank Nyrt. - ATM","Hungária krt. 9-11, 1101 Budapest",19.1092604,47.4935072
"4586","Erste Bank Hungary Zrt. - ATM","Erzsébet királyné út 125., 1143 Budapest",19.113516,47.5351489
"4587","OTP Bank Nyrt. - ATM","Pesti út 176, 2132 Göd",19.13611,47.7040409
"4588","K&H Bank Zrt. - Fiók","Kossuth Lajos utca 37/B, 1203 Budapest",19.103378,47.438147
